,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,97.0,124.0,88.0,
1,88.0,107.0,74.0,
2,121.0,141.0,108.0,
3,102.0,133.0,67.0,
4,97.0,119.0,96.0,
5,99.0,112.0,91.0,
6,102.0,115.0,96.0,
7,112.0,115.0,71.0,
8,94.0,107.0,82.0,
9,104.0,141.0,93.0,
10,95.0,118.0,69.0,
11,97.0,126.0,99.0,
12,112.0,141.0,92.0,
13,95.0,114.0,96.0,
14,81.0,104.0,85.0,
15,131.0,136.0,116.0,
16,107.0,145.0,90.0,
17,101.0,120.0,83.0,
18,114.0,122.0,69.0,
19,141.0,151.0,109.0,
20,126.0,155.0,98.0,
21,88.0,115.0,89.0,
22,83.0,102.0,82.0,
23,84.0,107.0,82.0,
24,94.0,119.0,95.0,
25,103.0,132.0,90.0,
26,97.0,129.0,88.0,
27,118.0,137.0,106.0,
28,104.0,135.0,98.0,
29,93.0,105.0,80.0,
30,123.0,162.0,108.0,
31,102.0,125.0,90.0,
32,111.0,142.0,97.0,
33,107.0,147.0,90.0,
34,116.0,136.0,109.0,
35,117.0,127.0,90.0,
36,115.0,141.0,86.0,
37,102.0,118.0,70.0,
38,97.0,146.0,101.0,
39,121.0,118.0,81.0,
40,89.0,145.0,84.0,
41,117.0,140.0,96.0,
42,113.0,139.0,97.0,
43,75.0,114.0,75.0,
44,103.0,133.0,79.0,
45,95.0,115.0,75.0,
46,90.0,120.0,92.0,
47,93.0,116.0,98.0,
48,94.0,115.0,85.0,
49,97.0,146.0,83.0,
50,103.0,131.0,88.0,
51,92.0,99.0,77.0,
52,107.0,130.0,94.0,
53,121.0,136.0,86.0,
54,101.0,128.0,107.0,
55,113.0,122.0,100.0,
56,114.0,133.0,102.0,
57,120.0,135.0,100.0,
58,95.0,110.0,86.0,
59,96.0,125.0,95.0,
60,108.0,115.0,94.0,
61,116.0,125.0,87.0,
62,103.0,116.0,98.0,
63,112.0,131.0,92.0,
64,102.0,136.0,87.0,
65,99.0,112.0,87.0,
66,112.0,133.0,98.0,
67,85.0,117.0,74.0,
68,108.0,138.0,94.0,
69,115.0,126.0,95.0,
70,111.0,134.0,74.0,
71,79.0,108.0,78.0,
72,88.0,117.0,94.0,
73,92.0,118.0,85.0,
74,135.0,147.0,101.0,
75,112.0,122.0,87.0,
76,99.0,126.0,77.0,
77,95.0,132.0,81.0,
78,90.0,102.0,104.0,
79,90.0,128.0,85.0,
80,101.0,116.0,85.0,
81,105.0,136.0,105.0,
82,102.0,139.0,99.0,
83,84.0,117.0,75.0,
84,90.0,124.0,87.0,
85,92.0,125.0,93.0,
86,96.0,133.0,72.0,
87,103.0,125.0,91.0,
88,85.0,120.0,78.0,
89,95.0,129.0,89.0,
90,88.0,125.0,85.0,
91,120.0,124.0,90.0,
92,105.0,145.0,85.0,
93,84.0,102.0,76.0,
94,93.0,126.0,86.0,
95,94.0,106.0,79.0,
96,98.0,129.0,89.0,
97,108.0,116.0,82.0,
98,99.0,128.0,75.0,
99,100.0,108.0,88.0,
